タイトル名,最低価格,クレジット最低価格,価格URL
遊戯王ラッシュデュエル 最強バトルロイヤル！！ [Nintendo Switch],800,800,https://kakaku.com/item/K0001353025/
流行り神1・2・3パック [Nintendo Switch],5005,5005,https://kakaku.com/item/K0001531391/
Alba Wildlife Adventure まもれ！動物の島 [Nintendo Switch],2827,2827,https://kakaku.com/item/K0001386667/
A列車で行こう ひろがる観光ライン ガイドブックパック [Nintendo Switch],8757,8757,https://kakaku.com/item/K0001463519/
BATSUGUN サターントリビュート Boosted [通常版] [Nintendo Switch],3209,3209,https://kakaku.com/item/K0001516244/
Bloodstained： Curse of the Moon Chronicles [限定版] [Nintendo Switch],7238,7238,https://kakaku.com/item/K0001526299/
CHAOS；HEAD NOAH   CHAOS；CHILD DOUBLE PACK [Nintendo Switch],5973,5973,https://kakaku.com/item/K0001413320/
CLOCK ZERO ～終焉の一秒～ Devote [通常版] [Nintendo Switch],4180,4180,https://kakaku.com/item/K0001144798/
Cuphead [Nintendo Switch],4041,4041,https://kakaku.com/item/K0001507743/
D.C.III P.S.～ダ・カーポIII～プラスストーリー [完全生産限定版] [Nintendo Switch],7367,7367,https://kakaku.com/item/K0001537891/
DesperaDrops デスペラドロップス [Nintendo Switch],6177,6177,https://kakaku.com/item/K0001563611/
Fate Samurai Remnant TREASURE BOX [Nintendo Switch],16380,,https://kakaku.com/item/K0001547133/
Fit Boxing 北斗の拳 ～お前はもう痩せている～ [Nintendo Switch],6300,6409,https://kakaku.com/item/K0001472556/
GUNVOLT RECORDS 電子軌録律 [通常版] [Nintendo Switch],4284,4284,https://kakaku.com/item/K0001576554/
HARVESTELLA [Nintendo Switch],6249,6249,https://kakaku.com/item/K0001456176/
HHG ダブルパック [Nintendo Switch],10450,10450,https://kakaku.com/item/K0001557355/
HHG 女神の終焉 [初回限定版] [Nintendo Switch],10534,10534,https://kakaku.com/item/K0001557354/
Hyper→Highspeed→Genius [通常版] [Nintendo Switch],5055,5055,https://kakaku.com/item/K0001512719/
Little Witch Nobeta [豪華限定版] [Nintendo Switch],4506,4506,https://kakaku.com/item/K0001443708/
Minecraft Dungeons Ultimate Edition [Nintendo Switch],4491,4491,https://kakaku.com/item/K0001379785/
OCTOPATH TRAVELER [Nintendo Switch],6273,6273,https://kakaku.com/item/K0000935051/
OMORI [Nintendo Switch],3572,3572,https://kakaku.com/item/K0001468203/
Pokemon LEGENDS アルセウス [Nintendo Switch],5173,5173,https://kakaku.com/item/K0001335535/
SANABI デラックスエディション [Nintendo Switch],6872,6872,https://kakaku.com/item/K0001562134/
SNOWBROS. NICK & TOM SPECIAL [初回限定版] [Nintendo Switch],8960,,https://kakaku.com/item/K0001423787/
Summer Pockets REFLECTION BLUE [Nintendo Switch],7210,7210,https://kakaku.com/item/K0001344915/
THE KING OF FIGHTERS XIII GLOBAL MATCH [Nintendo Switch],3986,3986,https://kakaku.com/item/K0001561701/
THE 密室からの脱出 ～運命をつなぐ35の謎～ [Nintendo Switch],2420,2420,https://kakaku.com/item/K0001051118/
Untitled Goose Game ～いたずらガチョウがやって来た！～ [Nintendo Switch],4013,4013,https://kakaku.com/item/K0001576553/
WRCジェネレーションズ [Nintendo Switch],4318,4318,https://kakaku.com/item/K0001478581/
